kd_Pepp;kd_FaelleAnzahl;kd_SummePflegetage;kd_PflegetageMw;kd_PflegetageStd;kd_PflegetageHK;kd_GeschlechtM;kd_GeschlechtW;kd_AlterMw;kd_AlterStd;kd_AlterU28T;kd_AlterU01;kd_AlterU03;kd_AlterU06;kd_AlterU10;kd_AlterU16;kd_AlterU18;kd_AlterU30;kd_AlterU40;kd_AlterU50;kd_AlterU55;kd_AlterU60;kd_AlterU65;kd_AlterU75;kd_AlterU80;kd_AlterU99;kd_TageskostenMw;kd_TageskostenStd;kd_TageskostenHK;kd_Degressionsendpunkt
PP04B;8940;359383;40,1994;20,0113;0,6676;0,3295;0,6705;43,5557;12,4495;0,00;0,00;0,00;0,00;0,00;0,00;0,0012;0,185;0,1581;0,2628;0,1751;0,1511;0,0668;0,00;0,00;0,00;188,20;46,72;0,8011;26
PP10A;551;29856;54,1851;34,5098;0,6109;0,069;0,931;27,5136;10,3358;0,00;0,00;0,00;0,00;0,00;0,00;0,0127;0,7151;0,1307;0,0871;0,0254;0,0163;0,0073;0,0054;0,00;0,00;248,15;66,08;0,7897;1
PP10B;413;18569;44,9613;24,9992;0,6427;0,0993;0,9007;29,8668;10,879;0,00;0,00;0,00;0,00;0,00;0,00;0,0169;0,6005;0,2034;0,1017;0,0412;0,0169;0,0145;0,0048;0,00;0,00;216,37;48,82;0,8159;1
PP14Z;542;24546;45,2878;29,6045;0,6047;0,2768;0,7232;32,6771;12,4355;0,00;0,00;0,00;0,00;0,00;0,0018;0,0037;0,4982;0,2214;0,155;0,0535;0,0369;0,0111;0,0166;0,00;0,0018;225,10;53,11;0,8091;1
TA02Z;1612;22873;14,1892;9,5103;0,5987;0,6569;0,3431;42,5955;12,932;0,00;0,00;0,00;0,00;0,00;0,00;0,0006;0,1904;0,2177;0,2593;0,147;0,0974;0,049;0,0329;0,005;0,0006;193,56;67,35;0,7419;1
TA15Z;489;8363;17,1022;15,1396;0,5304;0,4151;0,5849;74,1963;9,8843;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0082;0,00;0,0164;0,0307;0,0286;0,0348;0,3088;0,3027;0,2699;208,00;84,60;0,7109;1
TA19Z;2583;73464;28,4413;18,9357;0,6003;0,30;0,70;63,3991;17,2534;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,0697;0,0623;0,0972;0,041;0,0306;0,0197;0,3875;0,1839;0,108;185,53;50,17;0,7871;1
TA20Z;17625;511823;29,0396;19,3369;0,6003;0,408;0,5919;40,0358;12,4855;0,00;0,00;0,00;0,00;0,00;0,00;0,0012;0,2545;0,2162;0,2524;0,1345;0,0913;0,0498;0,00;0,00;0,00;172,39;51,35;0,7705;1
TK04Z;1841;77413;42,0494;29,4423;0,5882;0,4666;0,5334;12,7653;3,2118;0,00;0,00;0,0011;0,013;0,1733;0,5736;0,2271;0,012;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;275,97;68,20;0,8018;1
TK14Z;2161;95992;44,4202;28,2854;0,611;0,6927;0,3073;10,7339;3,344;0,00;0,0005;0,0023;0,0333;0,3781;0,4817;0,0916;0,0125;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;290,08;67,93;0,8103;1
TP20Z;1618;43671;26,9907;15,332;0,6377;0,3239;0,6761;41,0612;12,7657;0,00;0,00;0,00;0,00;0,00;0,00;0,0006;0,2281;0,2262;0,2614;0,1261;0,0878;0,0488;0,0179;0,0012;0,0019;172,40;23,27;0,8811;1
