re_Code;re_Text;re_CodeF;re_Hauptdiagnose;re_Nebendiagnose;re_Prozedur
96055;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 10 bis 12 Therapieeinheiten pro Woche;9-605.5;0;0;1
96056;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 12 bis 14 Therapieeinheiten pro Woche;9-605.6;0;0;1
96057;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 14 bis 16 Therapieeinheiten pro Woche;9-605.7;0;0;1
96058;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 16 bis 18 Therapieeinheiten pro Woche;9-605.8;0;0;1
9605a;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 20 Therapieeinheiten pro Woche;9-605.a;0;0;1
96060;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: Regelbehandlung mit 1/12 bis 2 Therapieeinheiten pro Woche;9-606.0;0;0;1
96061;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 2 bis 4 Therapieeinheiten pro Woche;9-606.1;0;0;1
96062;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 4 bis 6 Therapieeinheiten pro Woche;9-606.2;0;0;1
96063;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 6 bis 8 Therapieeinheiten pro Woche;9-606.3;0;0;1
96064;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 8 bis 10 Therapieeinheiten pro Woche;9-606.4;0;0;1
96065;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 10 bis 12 Therapieeinheiten pro Woche;9-606.5;0;0;1
96066;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 12 bis 14 Therapieeinheiten pro Woche;9-606.6;0;0;1
96067;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 14 bis 16 Therapieeinheiten pro Woche;9-606.7;0;0;1
96068;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 16 bis 18 Therapieeinheiten pro Woche;9-606.8;0;0;1
96069;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 18 bis 20 Therapieeinheiten pro Woche;9-606.9;0;0;1
9606a;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 20 bis 22 Therapieeinheiten pro Woche;9-606.a;0;0;1
9606b;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 22 bis 24 Therapieeinheiten pro Woche;9-606.b;0;0;1
9606c;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 24 bis 26 Therapieeinheiten pro Woche;9-606.c;0;0;1
9606d;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 26 bis 28 Therapieeinheiten pro Woche;9-606.d;0;0;1
9606e;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 28 bis 30 Therapieeinheiten pro Woche;9-606.e;0;0;1
9606f;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 30 bis 32 Therapieeinheiten pro Woche;9-606.f;0;0;1
9606g;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 32 bis 34 Therapieeinheiten pro Woche;9-606.g;0;0;1
9606h;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 34 bis 36 Therapieeinheiten pro Woche;9-606.h;0;0;1
9606j;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 36 bis 38 Therapieeinheiten pro Woche;9-606.j;0;0;1
9606m;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 40 bis 42 Therapieeinheiten pro Woche;9-606.m;0;0;1
9606n;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 42 bis 44 Therapieeinheiten pro Woche;9-606.n;0;0;1
9606r;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 48 Therapieeinheiten pro Woche;9-606.r;0;0;1
96140;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: Intensivbehandlung ohne Therapieeinheiten pro Woche;9-614.0;0;0;1
961410;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit 1/12 bis 2 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;9-614.10;0;0;1
961411;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit mehr als 2 bis 4 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;9-614.11;0;0;1
961412;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit mehr als 4 bis 6 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;9-614.12;0;0;1
961413;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit mehr als 6 bis 8 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;9-614.13;0;0;1
961414;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit mehr als 8 bis 10 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;9-614.14;0;0;1
961415;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit mehr als 10 bis 12 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;9-614.15;0;0;1
961420;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit 1/12 bis 2 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten pro Woche;9-614.20;0;0;1
961421;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mehr als 2 bis 4 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachte Therapieeinheiten pro Woche;9-614.21;0;0;1
961422;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mehr als 4 bis 6 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachte Therapieeinheiten pro Woche;9-614.22;0;0;1
961423;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mehr als 6 bis 8 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachte Therapieeinheiten pro Woche;9-614.23;0;0;1
961424;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mehr als 8 bis 10 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachte Therapieeinheiten pro Woche;9-614.24;0;0;1
961425;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mehr als 10 bis 12 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachte Therapieeinheiten/Woche;9-614.25;0;0;1
961426;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mehr als 12 bis 14 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachte Therapieeinheiten/Woche;9-614.26;0;0;1
961427;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mehr als 14 bis 16 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachte Therapieeinheiten/Woche;9-614.27;0;0;1
961428;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mehr als 16 bis 18 durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachte Therapieeinheiten/Woche;9-614.28;0;0;1
