IC_Code;IC_Text;IC_CodeF;IC_ANZHDI;IC_ANZNDI;IC_AnzProzI
3200;Native Computertomographie des Schädels;3-200;0;0;1
3203;Native Computertomographie von Wirbelsäule und Rückenmark;3-203;0;0;1
3206;Native Computertomographie des Beckens;3-206;0;0;1
3207;Native Computertomographie des Abdomens;3-207;0;0;1
3221;Computertomographie des Halses mit Kontrastmittel;3-221;0;0;1
3222;Computertomographie des Thorax mit Kontrastmittel;3-222;0;0;1
3225;Computertomographie des Abdomens mit Kontrastmittel;3-225;0;0;1
3226;Computertomographie des Beckens mit Kontrastmittel;3-226;0;0;1
3241;CT-Myelographie;3-241;0;0;1
3613;Phlebographie der Gefäße einer Extremität;3-613;0;0;1
37050;Szintigraphie des Muskel-Skelett-Systems: Ein-Phasen-Szintigraphie;3-705.0;0;0;1
37090;Szintigraphie des Lymphsystems: Planare Lymphszintigraphie zur Lokalisationsdiagnostik;3-709.0;0;0;1
3802;Native Magnetresonanztomographie von Wirbelsäule und Rückenmark;3-802;0;0;1
3820;Magnetresonanztomographie des Schädels mit Kontrastmittel;3-820;0;0;1
3823;Magnetresonanztomographie von Wirbelsäule und Rückenmark mit Kontrastmittel;3-823;0;0;1
3990;Computergestützte Bilddatenanalyse mit 3D-Auswertung;3-990;0;0;1
3992;Intraoperative Anwendung der Verfahren;3-992;0;0;1
503200;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: LWS, dorsal: 1 Segment;5-032.00;0;0;1
503201;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: LWS, dorsal: 2 Segmente;5-032.01;0;0;1
503202;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: LWS, dorsal: Mehr als 2 Segmente;5-032.02;0;0;1
503210;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: Flavektomie LWS: 1 Segment;5-032.10;0;0;1
503211;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: Flavektomie LWS: 2 Segmente;5-032.11;0;0;1
503220;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: Laminotomie LWS: 1 Segment;5-032.20;0;0;1
503221;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: Laminotomie LWS: 2 Segmente;5-032.21;0;0;1
503230;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: Hemilaminektomie LWS: 1 Segment;5-032.30;0;0;1
503231;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: Hemilaminektomie LWS: 2 Segmente;5-032.31;0;0;1
503240;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: Laminektomie LWS: 1 Segment;5-032.40;0;0;1
5032x;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis: Sonstige;5-032.x;0;0;1
50330;Inzision des Spinalkanals: Dekompression;5-033.0;0;0;1
50368;Plastische Operationen an Rückenmark und Rückenmarkhäuten: Spinale Duraplastik;5-036.8;0;0;1
503820;Operationen am spinalen Liquorsystem: Implantation oder Wechsel eines Katheters zur intrathekalen und epiduralen Infusion: Temporärer Katheter zur Testinfusion;5-038.20;0;0;1
50560;Neurolyse und Dekompression eines Nerven: Hirnnerven extrakraniell;5-056.0;0;0;1
50568;Neurolyse und Dekompression eines Nerven: Nerven Bein;5-056.8;0;0;1
50570;Neurolyse und Dekompression eines Nerven mit Transposition: Hirnnerven extrakraniell;5-057.0;0;0;1
50650;Exzision des Ductus thyreoglossus: Exzision einer medianen Halszyste, ohne Resektion des medialen Zungenbeines;5-065.0;0;0;1
50651;Exzision des Ductus thyreoglossus: Exzision einer medianen Halszyste, mit Resektion des medialen Zungenbeines;5-065.1;0;0;1
50653;Exzision des Ductus thyreoglossus: Exzision einer medianen Halsfistel, mit Resektion des medialen Zungenbeines;5-065.3;0;0;1
5115;Naht der Konjunktiva;5-115;0;0;1
51221;Operationen bei Pterygium: Exzision mit Bindehautplastik;5-122.1;0;0;1
51224;Operationen bei Pterygium: Exzision mit sonstiger Plastik oder freiem Transplantat;5-122.4;0;0;1
512320;Exzision und Destruktion von (erkranktem) Gewebe der Kornea: Keratektomie: Superfiziell;5-123.20;0;0;1
512321;Exzision und Destruktion von (erkranktem) Gewebe der Kornea: Keratektomie: Mit EDTA;5-123.21;0;0;1
5124;Naht der Kornea;5-124;0;0;1
51250;Hornhauttransplantation und Keratoprothetik: Hornhauttransplantation, lamellär;5-125.0;0;0;1
512510;Hornhauttransplantation und Keratoprothetik: Hornhauttransplantation, perforierend: Nicht HLA-typisiert;5-125.10;0;0;1
512601;Refraktive Keratoplastik und andere Rekonstruktion der Kornea: Keratotomie: Nicht radiär;5-126.01;0;0;1
513100;Senkung des Augeninnendruckes durch filtrierende Operationen: Gedeckte Goniotrepanation oder Trabekulektomie: Ohne adjuvante medikamentöse Therapie;5-131.00;0;0;1
513101;Senkung des Augeninnendruckes durch filtrierende Operationen: Gedeckte Goniotrepanation oder Trabekulektomie: Mit Einbringen von Medikamenten zur Fibrosehemmung;5-131.01;0;0;1
513140;Senkung des Augeninnendruckes durch filtrierende Operationen: Revision einer Sklerafistel: Revision eines Sickerkissens;5-131.40;0;0;1
513161;Senkung des Augeninnendruckes durch filtrierende Operationen: Filtrationsoperation mit Implantat: Mit Abfluss in den Kammerwinkel;5-131.61;0;0;1
51321;Senkung des Augeninnendruckes durch Operationen am Corpus ciliare: Zyklokryotherapie;5-132.1;0;0;1
513220;Senkung des Augeninnendruckes durch Operationen am Corpus ciliare: Zyklophotokoagulation: Offen chirurgisch;5-132.20;0;0;1
51322x;Senkung des Augeninnendruckes durch Operationen am Corpus ciliare: Zyklophotokoagulation: Sonstige;5-132.2x;0;0;1
51330;Senkung des Augeninnendruckes durch Verbesserung der Kammerwasserzirkulation: Chirurgische Iridektomie;5-133.0;0;0;1
51333;Senkung des Augeninnendruckes durch Verbesserung der Kammerwasserzirkulation: Lasertrabekuloplastik;5-133.3;0;0;1
51337;Senkung des Augeninnendruckes durch Verbesserung der Kammerwasserzirkulation: Aspiration am Trabekelwerk bei Pseudoexfoliationsglaukom;5-133.7;0;0;1
51371;Andere Operationen an der Iris: Iridoplastik, chirurgisch;5-137.1;0;0;1
51374;Andere Operationen an der Iris: Lösung hinterer Synechien (zwischen Iris und Linse);5-137.4;0;0;1
513810;Operationen an der Sklera: Naht der Sklera: Primäre Naht;5-138.10;0;0;1
51390;Andere Operationen an Sklera, vorderer Augenkammer, Iris und Corpus ciliare: Parazentese;5-139.0;0;0;1
513910;Andere Operationen an Sklera, vorderer Augenkammer, Iris und Corpus ciliare: Vorderkammerspülung: Ohne weitere Maßnahmen;5-139.10;0;0;1
513912;Andere Operationen an Sklera, vorderer Augenkammer, Iris und Corpus ciliare: Vorderkammerspülung: Mit Einbringen von Medikamenten;5-139.12;0;0;1
5139x;Andere Operationen an Sklera, vorderer Augenkammer, Iris und Corpus ciliare: Sonstige;5-139.x;0;0;1
51421;Kapsulotomie der Linse: Kapsulotomie, chirurgisch;5-142.1;0;0;1
51443a;Extrakapsuläre Extraktion der Linse [ECCE]: Linsenkernverflüssigung [Phakoemulsifikation] über sklero-kornealen Zugang: Mit Einführung einer kapselfixierten Hinterkammerlinse, monofokale Intraokularlinse;5-144.3a;0;0;1
51445a;Extrakapsuläre Extraktion der Linse [ECCE]: Linsenkernverflüssigung [Phakoemulsifikation] über kornealen Zugang: Mit Einführung einer kapselfixierten Hinterkammerlinse, monofokale Intraokularlinse;5-144.5a;0;0;1
51471;Revision und Entfernung einer alloplastischen Linse: Revision einer Hinterkammerlinse;5-147.1;0;0;1
51490;Andere Operationen an der Linse: Einführung eines Kapselspannringes;5-149.0;0;0;1
51520;Fixation der Netzhaut durch eindellende Operationen: Durch permanente Plombe;5-152.0;0;0;1
51522;Fixation der Netzhaut durch eindellende Operationen: Durch Cerclage;5-152.2;0;0;1
51540;Andere Operationen zur Fixation der Netzhaut: Kryopexie;5-154.0;0;0;1
51542;Andere Operationen zur Fixation der Netzhaut: Laser-Retinopexie;5-154.2;0;0;1
51543;Andere Operationen zur Fixation der Netzhaut: Endotamponade (Gas);5-154.3;0;0;1
51544;Andere Operationen zur Fixation der Netzhaut: Durch schwere Flüssigkeiten;5-154.4;0;0;1
51550;Destruktion von erkranktem Gewebe an Retina und Choroidea: Durch Diathermie;5-155.0;0;0;1
51551;Destruktion von erkranktem Gewebe an Retina und Choroidea: Durch Kryokoagulation;5-155.1;0;0;1
51553;Destruktion von erkranktem Gewebe an Retina und Choroidea: Durch lokale Laserkoagulation;5-155.3;0;0;1
51554;Destruktion von erkranktem Gewebe an Retina und Choroidea: Durch flächige Laserkoagulation;5-155.4;0;0;1
51561;Andere Operationen an der Retina: Retinektomie;5-156.1;0;0;1
51569;Andere Operationen an der Retina: Injektion von Medikamenten in den hinteren Augenabschnitt;5-156.9;0;0;1
515800;Pars-plana-Vitrektomie: Vordere Vitrektomie über Pars plana: Elektrolytlösung;5-158.00;0;0;1
515802;Pars-plana-Vitrektomie: Vordere Vitrektomie über Pars plana: Andere Gase;5-158.02;0;0;1
515803;Pars-plana-Vitrektomie: Vordere Vitrektomie über Pars plana: Silikonölimplantation;5-158.03;0;0;1
515810;Pars-plana-Vitrektomie: Ohne chirurgische Manipulation der Netzhaut: Elektrolytlösung;5-158.10;0;0;1
515811;Pars-plana-Vitrektomie: Ohne chirurgische Manipulation der Netzhaut: Luft;5-158.11;0;0;1
515812;Pars-plana-Vitrektomie: Ohne chirurgische Manipulation der Netzhaut: Andere Gase;5-158.12;0;0;1
515813;Pars-plana-Vitrektomie: Ohne chirurgische Manipulation der Netzhaut: Silikonölimplantation;5-158.13;0;0;1
515815;Pars-plana-Vitrektomie: Ohne chirurgische Manipulation der Netzhaut: Silikonölentfernung;5-158.15;0;0;1
515816;Pars-plana-Vitrektomie: Ohne chirurgische Manipulation der Netzhaut: Medikamente;5-158.16;0;0;1
515820;Pars-plana-Vitrektomie: Mit Entfernung epiretinaler Membranen: Elektrolytlösung;5-158.20;0;0;1
515821;Pars-plana-Vitrektomie: Mit Entfernung epiretinaler Membranen: Luft;5-158.21;0;0;1
515822;Pars-plana-Vitrektomie: Mit Entfernung epiretinaler Membranen: Andere Gase;5-158.22;0;0;1
515823;Pars-plana-Vitrektomie: Mit Entfernung epiretinaler Membranen: Silikonölimplantation;5-158.23;0;0;1
515826;Pars-plana-Vitrektomie: Mit Entfernung epiretinaler Membranen: Medikamente;5-158.26;0;0;1
515832;Pars-plana-Vitrektomie: Mit Entfernung subretinaler Membranen: Andere Gase;5-158.32;0;0;1
515840;Pars-plana-Vitrektomie: Mit Entfernung netzhautabhebender Membranen: Elektrolytlösung;5-158.40;0;0;1
515841;Pars-plana-Vitrektomie: Mit Entfernung netzhautabhebender Membranen: Luft;5-158.41;0;0;1
515842;Pars-plana-Vitrektomie: Mit Entfernung netzhautabhebender Membranen: Andere Gase;5-158.42;0;0;1
515843;Pars-plana-Vitrektomie: Mit Entfernung netzhautabhebender Membranen: Silikonölimplantation;5-158.43;0;0;1
515845;Pars-plana-Vitrektomie: Mit Entfernung netzhautabhebender Membranen: Silikonölentfernung;5-158.45;0;0;1
515900;Vitrektomie über anderen Zugang und andere Operationen am Corpus vitreum: Vordere Vitrektomie über anderen Zugang als Pars plana: Elektrolytlösung;5-159.00;0;0;1
515906;Vitrektomie über anderen Zugang und andere Operationen am Corpus vitreum: Vordere Vitrektomie über anderen Zugang als Pars plana: Medikamente;5-159.06;0;0;1
51594;Vitrektomie über anderen Zugang und andere Operationen am Corpus vitreum: Nahtlose transkonjunktivale Vitrektomie mit Einmalinstrumenten;5-159.4;0;0;1
51842;Plastische Korrektur abstehender Ohren: Durch Korrektur des Ohrknorpels und Exzision von Weichteilen;5-184.2;0;0;1
51850;Konstruktion und Rekonstruktion des äußeren Gehörganges: Erweiterung (z.B. bei Gehörgangsstenose);5-185.0;0;0;1
51852;Konstruktion und Rekonstruktion des äußeren Gehörganges: Rekonstruktion eines (bestehenden) äußeren Gehörganges;5-185.2;0;0;1
51890;Andere Operationen am äußeren Ohr: Entnahme von Ohrknorpel zur Transplantation;5-189.0;0;0;1
5189x;Andere Operationen am äußeren Ohr: Sonstige;5-189.x;0;0;1
519212;Revision einer Stapedektomie: Mit Wiedereröffnung des ovalen Fensters: Mit Implantation einer alloplastischen Prothese (z.B. Piston);5-192.12;0;0;1
51940;Myringoplastik [Tympanoplastik Typ I]: Endaural;5-194.0;0;0;1
51941;Myringoplastik [Tympanoplastik Typ I]: Retroaurikulär;5-194.1;0;0;1
519590;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik Typ II bis V: Ohne Implantation einer Prothese;5-195.90;0;0;1
519591;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik Typ II bis V: Mit Implantation einer autogenen Prothese (z.B. Auto-Ossikel);5-195.91;0;0;1
519592;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik Typ II bis V: Mit Implantation einer alloplastischen Prothese;5-195.92;0;0;1
5195a0;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik mit Attikotomie oder Attikoantrotomie: Ohne Implantation einer Prothese;5-195.a0;0;0;1
5195a1;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik mit Attikotomie oder Attikoantrotomie: Mit Implantation einer autogenen Prothese (z.B. Auto-Ossikel);5-195.a1;0;0;1
5195a2;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik mit Attikotomie oder Attikoantrotomie: Mit Implantation einer alloplastischen Prothese;5-195.a2;0;0;1
5195b0;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik mit Antrotomie oder Mastoidektomie: Ohne Implantation einer Prothese;5-195.b0;0;0;1
5195b1;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik mit Antrotomie oder Mastoidektomie: Mit Implantation einer autogenen Prothese (z.B. Auto-Ossikel);5-195.b1;0;0;1
5195b2;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik mit Antrotomie oder Mastoidektomie: Mit Implantation einer alloplastischen Prothese;5-195.b2;0;0;1
5195c2;Tympanoplastik (Verschluss einer Trommelfellperforation und Rekonstruktion der Gehörknöchelchen): Tympanoplastik mit Anlage einer Ohrradikalhöhle: Mit Implantation einer alloplastischen Prothese;5-195.c2;0;0;1
51972;Stapesplastik: Mit Implantation einer alloplastischen Prothese (z.B. Piston);5-197.2;0;0;1
51982;Fensterungsoperation des Promotoriums: Mit Implantation einer alloplastischen Prothese (z.B. Piston);5-198.2;0;0;1
52004;Parazentese [Myringotomie]: Ohne Legen einer Paukendrainage;5-200.4;0;0;1
52005;Parazentese [Myringotomie]: Mit Einlegen einer Paukendrainage;5-200.5;0;0;1
5201;Entfernung einer Paukendrainage;5-201;0;0;1
52022;Inzision an Warzenfortsatz und Mittelohr: Explorative Tympanotomie;5-202.2;0;0;1
520370;Mastoidektomie: Mit Freilegung des Fazialiskanals: Ohne Dekompression des Nerven;5-203.70;0;0;1
52042;Rekonstruktion des Mittelohres: Rekonstruktion der hinteren Gehörgangswand;5-204.2;0;0;1
52081;Inzision [Eröffnung] und Destruktion [Ausschaltung] des Innenohres: Dekompression oder Drainage des Saccus endolymphaticus (mit Shunt);5-208.1;0;0;1
52101;Operative Behandlung einer Nasenblutung: Elektrokoagulation;5-210.1;0;0;1
52104;Operative Behandlung einer Nasenblutung: Ligatur einer Arterie (A. maxillaris oder A. ethmoidalis);5-210.4;0;0;1
521141;Inzision der Nase: Durchtrennung von Synechien: Mit Einnähen von Septumstützfolien;5-211.41;0;0;1
52122;Exzision und Destruktion von erkranktem Gewebe der Nase: Exzision an der inneren Nase, endonasal;5-212.2;0;0;1
52140;Submuköse Resektion und plastische Rekonstruktion des Nasenseptums: Submuköse Resektion;5-214.0;0;0;1
52143;Submuköse Resektion und plastische Rekonstruktion des Nasenseptums: Septumunterfütterung (z.B. bei Ozaena);5-214.3;0;0;1
52144;Submuköse Resektion und plastische Rekonstruktion des Nasenseptums: Verschluss einer Septumperforation mit Schleimhaut-Verschiebelappen;5-214.4;0;0;1
52145;Submuköse Resektion und plastische Rekonstruktion des Nasenseptums: Plastische Korrektur ohne Resektion;5-214.5;0;0;1
52146;Submuköse Resektion und plastische Rekonstruktion des Nasenseptums: Plastische Korrektur mit Resektion;5-214.6;0;0;1
521470;Submuköse Resektion und plastische Rekonstruktion des Nasenseptums: Plastische Rekonstruktion des Nasenseptums: Mit lokalen autogenen Transplantaten (Austauschplastik);5-214.70;0;0;1
521471;Submuköse Resektion und plastische Rekonstruktion des Nasenseptums: Plastische Rekonstruktion des Nasenseptums: Mit distalen autogenen Transplantaten (z.B. Rippenknorpel);5-214.71;0;0;1
521500;Operationen an der unteren Nasenmuschel [Concha nasalis]: Destruktion: Diathermie;5-215.00;0;0;1
521501;Operationen an der unteren Nasenmuschel [Concha nasalis]: Destruktion: Kryokoagulation;5-215.01;0;0;1
521502;Operationen an der unteren Nasenmuschel [Concha nasalis]: Destruktion: Laserkoagulation;5-215.02;0;0;1
52151;Operationen an der unteren Nasenmuschel [Concha nasalis]: Konchotomie und Abtragung von hinteren Enden;5-215.1;0;0;1
52152;Operationen an der unteren Nasenmuschel [Concha nasalis]: Konchektomie;5-215.2;0;0;1
52153;Operationen an der unteren Nasenmuschel [Concha nasalis]: Submuköse Resektion;5-215.3;0;0;1
52154;Operationen an der unteren Nasenmuschel [Concha nasalis]: Lateralisation;5-215.4;0;0;1
52155;Operationen an der unteren Nasenmuschel [Concha nasalis]: Medialisation;5-215.5;0;0;1
5215x;Operationen an der unteren Nasenmuschel [Concha nasalis]: Sonstige;5-215.x;0;0;1
52160;Reposition einer Nasenfraktur: Geschlossen;5-216.0;0;0;1
52161;Reposition einer Nasenfraktur: Offen, endonasal;5-216.1;0;0;1
52170;Plastische Rekonstruktion der äußeren Nase: Nasensteg;5-217.0;0;0;1
521810;Plastische Rekonstruktion der inneren und äußeren Nase [Septorhinoplastik]: Septorhinoplastik mit Korrektur des Knochens: Mit lokalen autogenen Transplantaten;5-218.10;0;0;1
521812;Plastische Rekonstruktion der inneren und äußeren Nase [Septorhinoplastik]: Septorhinoplastik mit Korrektur des Knochens: Mit allogenen oder xenogenen Transplantaten;5-218.12;0;0;1
521820;Plastische Rekonstruktion der inneren und äußeren Nase [Septorhinoplastik]: Septorhinoplastik mit Korrektur des Knorpels und Knochens: Mit lokalen autogenen Transplantaten;5-218.20;0;0;1
521821;Plastische Rekonstruktion der inneren und äußeren Nase [Septorhinoplastik]: Septorhinoplastik mit Korrektur des Knorpels und Knochens: Mit distalen autogenen Transplantaten;5-218.21;0;0;1
521840;Plastische Rekonstruktion der inneren und äußeren Nase [Septorhinoplastik]: Komplexe plastische Rekonstruktion der inneren und äußeren Nase: Mit lokalen autogenen Transplantaten;5-218.40;0;0;1
521841;Plastische Rekonstruktion der inneren und äußeren Nase [Septorhinoplastik]: Komplexe plastische Rekonstruktion der inneren und äußeren Nase: Mit distalen autogenen Transplantaten;5-218.41;0;0;1
521842;Plastische Rekonstruktion der inneren und äußeren Nase [Septorhinoplastik]: Komplexe plastische Rekonstruktion der inneren und äußeren Nase: Mit allogenen oder xenogenen Transplantaten;5-218.42;0;0;1
52210;Operationen an der Kieferhöhle: Fensterung über unteren Nasengang;5-221.0;0;0;1
52211;Operationen an der Kieferhöhle: Fensterung über mittleren Nasengang;5-221.1;0;0;1
52214;Operationen an der Kieferhöhle: Radikaloperation (z.B. Operation nach Caldwell-Luc);5-221.4;0;0;1
52216;Operationen an der Kieferhöhle: Endonasal;5-221.6;0;0;1
52217;Operationen an der Kieferhöhle: Osteoplastische Operation, transoral;5-221.7;0;0;1
52220;Operation am Siebbein und an der Keilbeinhöhle: Infundibulotomie;5-222.0;0;0;1
522220;Operation am Siebbein und an der Keilbeinhöhle: Ethmoidektomie, endonasal: Ohne Darstellung der Schädelbasis;5-222.20;0;0;1
522221;Operation am Siebbein und an der Keilbeinhöhle: Ethmoidektomie, endonasal: Mit Darstellung der Schädelbasis;5-222.21;0;0;1
52224;Operation am Siebbein und an der Keilbeinhöhle: Sphenoidotomie, endonasal;5-222.4;0;0;1
52235;Operationen an der Stirnhöhle: Endonasale Stirnhöhlenoperation;5-223.5;0;0;1
52240;Operationen an mehreren Nasennebenhöhlen: Sanierung der Sinus maxillaris et ethmoidalis, kombiniert endonasal und transantral (Luc-de Lima);5-224.0;0;0;1
52241;Operationen an mehreren Nasennebenhöhlen: Sanierung der Sinus frontalis et ethmoidalis, kombiniert endonasal und von außen (nach Lynch, osteoplastische Operation);5-224.1;0;0;1
52242;Operationen an mehreren Nasennebenhöhlen: Sanierung der Sinus maxillaris, ethmoidalis et sphenoidalis, transmaxillo-ethmoidal;5-224.2;0;0;1
52243;Operationen an mehreren Nasennebenhöhlen: Ethmoidsphenoidektomie, endonasal;5-224.3;0;0;1
52244;Operationen an mehreren Nasennebenhöhlen: Mehrere Nasennebenhöhlen, radikal;5-224.4;0;0;1
522462;Operationen an mehreren Nasennebenhöhlen: Mehrere Nasennebenhöhlen, endonasal: Mit Entlastung eines Abszesses;5-224.62;0;0;1
522463;Operationen an mehreren Nasennebenhöhlen: Mehrere Nasennebenhöhlen, endonasal: Mit Darstellung der Schädelbasis (endonasale Pansinusoperation);5-224.63;0;0;1
52246x;Operationen an mehreren Nasennebenhöhlen: Mehrere Nasennebenhöhlen, endonasal: Sonstige;5-224.6x;0;0;1
52254;Plastische Rekonstruktion der Nasennebenhöhlen: Verschluss einer alveoloantralen Fistel;5-225.4;0;0;1
52255;Plastische Rekonstruktion der Nasennebenhöhlen: Verschluss einer oroantralen Fistel;5-225.5;0;0;1
5229;Andere Operationen an den Nasennebenhöhlen;5-229;0;0;1
52300;Zahnextraktion: Einwurzeliger Zahn;5-230.0;0;0;1
52303;Zahnextraktion: Mehrere Zähne verschiedener Quadranten;5-230.3;0;0;1
523100;Operative Zahnentfernung (durch Osteotomie): Tief zerstörter Zahn: Ein Zahn;5-231.00;0;0;1
523101;Operative Zahnentfernung (durch Osteotomie): Tief zerstörter Zahn: Mehrere Zähne eines Quadranten;5-231.01;0;0;1
523102;Operative Zahnentfernung (durch Osteotomie): Tief zerstörter Zahn: Mehrere Zähne eines Kiefers;5-231.02;0;0;1
523103;Operative Zahnentfernung (durch Osteotomie): Tief zerstörter Zahn: Mehrere Zähne des Ober- und Unterkiefers;5-231.03;0;0;1
523120;Operative Zahnentfernung (durch Osteotomie): Vollständig retinierter oder verlagerter (impaktierter) Zahn: Ein Zahn;5-231.20;0;0;1
523123;Operative Zahnentfernung (durch Osteotomie): Vollständig retinierter oder verlagerter (impaktierter) Zahn: Mehrere Zähne des Ober- und Unterkiefers;5-231.23;0;0;1
523152;Operative Zahnentfernung (durch Osteotomie): Entfernung einer frakturierten Wurzel oder Radix relicta: Mehrere Zähne eines Kiefers;5-231.52;0;0;1
523153;Operative Zahnentfernung (durch Osteotomie): Entfernung einer frakturierten Wurzel oder Radix relicta: Mehrere Zähne des Ober- und Unterkiefers;5-231.53;0;0;1
52410;Gingivaplastik: Lappenoperation;5-241.0;0;0;1
52413;Gingivaplastik: Mit alloplastischem Implantat;5-241.3;0;0;1
52420;Andere Operationen am Zahnfleisch: Kürettage von Zahnfleischtaschen;5-242.0;0;0;1
52433;Exzision einer odontogenen pathologischen Veränderung des Kiefers: Am Unterkiefer;5-243.3;0;0;1
52434;Exzision einer odontogenen pathologischen Veränderung des Kiefers: Am Unterkiefer mit Darstellung des N. alveolaris inferior;5-243.4;0;0;1
52435;Exzision einer odontogenen pathologischen Veränderung des Kiefers: Am Unterkiefer mit Darstellung des N. lingualis;5-243.5;0;0;1
524400;Alveolarkammplastik und Vestibulumplastik: Alveolarkammplastik (Umschlagfalte): Ohne Transplantat;5-244.00;0;0;1
52493;Andere Operationen und Maßnahmen an Gebiss, Zahnfleisch und Alveolen: Operative Fixation einer Verbandplatte oder einer Gaumenplatte;5-249.3;0;0;1
52494;Andere Operationen und Maßnahmen an Gebiss, Zahnfleisch und Alveolen: Anpassung einer herausnehmbaren Verbandplatte;5-249.4;0;0;1
52502;Inzision, Exzision und Destruktion von erkranktem Gewebe der Zunge: Exzision;5-250.2;0;0;1
526240;Resektion einer Speicheldrüse: Glandula submandibularis: Ohne intraoperatives Monitoring des Ramus marginalis des N. facialis;5-262.40;0;0;1
