re_Code;re_Text;re_Hauptdiagnose;re_Nebendiagnose;re_Prozedur
1-632.0;Diagnostische Ösophagogastroduodenoskopie: Bei normalem Situs;0;0;1
1-632.1;Diagnostische Ösophagogastroduodenoskopie: Bei Anastomosen an Ösophagus, Magen und/oder Duodenum;0;0;1
1-632.x;Diagnostische Ösophagogastroduodenoskopie: Sonstige;0;0;1
1-650.0;Diagnostische Koloskopie: Partiell;0;0;1
1-650.1;Diagnostische Koloskopie: Total, bis Zäkum;0;0;1
1-650.2;Diagnostische Koloskopie: Total, mit Ileoskopie;0;0;1
1-651;Diagnostische Sigmoideoskopie;0;0;1
1-653;Diagnostische Proktoskopie;0;0;1
1-654.1;Diagnostische Rektoskopie: Mit starrem Instrument;0;0;1
1-661;Diagnostische Urethrozystoskopie;0;0;1
1-670;Diagnostische Vaginoskopie;0;0;1
1-671;Diagnostische Kolposkopie;0;0;1
1-700;Spezifische allergologische Provokationstestung;0;0;1
1-710;Ganzkörperplethysmographie;0;0;1
1-711;Bestimmung der CO-Diffusionskapazität;0;0;1
1-713;Messung der funktionellen Residualkapazität [FRC] mit der Helium-Verdünnungsmethode;0;0;1
1-714;Messung der bronchialen Reaktivität;0;0;1
1-760;Belastungstest mit Substanzen zum Nachweis einer Stoffwechselstörung;0;0;1
1-770;Multidimensionales geriatrisches Screening und Minimalassessment;0;0;1
1-771;Standardisiertes geriatrisches Basisassessment (GBA);0;0;1
1-790;Kardiorespiratorische Polysomnographie;0;0;1
1-791;Kardiorespiratorische Polygraphie;0;0;1
1-795;Multipler Schlaflatenztest (MSLT)/multipler Wachbleibetest (MWT);0;0;1
1-903;Aufwendige Diagnostik bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen;0;0;1
1-904;Aufwendige Diagnostik bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern und Jugendlichen;0;0;1
3-030;Komplexe differenzialdiagnostische Sonographie mit Kontrastmittel;0;0;1
3-034;Komplexe differenzialdiagnostische Sonographie mittels Tissue Doppler Imaging [TDI] und Verformungsanalysen von Gewebe [Speckle Tracking];0;0;1
3-035;Komplexe differenzialdiagnostische Sonographie des Gefäßsystems mit quantitativer Auswertung;0;0;1
3-052;Transösophageale Echokardiographie [TEE];0;0;1
3-058;Endosonographie des Rektums;0;0;1
3-05b.0;Endosonographie der Harnblase und der Urethra: Transrektal;0;0;1
3-05c.0;Endosonographie der männlichen Geschlechtsorgane: Transrektal;0;0;1
3-05d;Endosonographie der weiblichen Geschlechtsorgane;0;0;1
3-100.0;Mammographie: Eine oder mehr Ebenen;0;0;1
3-137;Ösophagographie;0;0;1
3-200;Native Computertomographie des Schädels;0;0;1
3-201;Native Computertomographie des Halses;0;0;1
3-202;Native Computertomographie des Thorax;0;0;1
3-203;Native Computertomographie von Wirbelsäule und Rückenmark;0;0;1
3-205;Native Computertomographie des Muskel-Skelett-Systems;0;0;1
3-206;Native Computertomographie des Beckens;0;0;1
3-207;Native Computertomographie des Abdomens;0;0;1
3-220;Computertomographie des Schädels mit Kontrastmittel;0;0;1
3-221;Computertomographie des Halses mit Kontrastmittel;0;0;1
3-222;Computertomographie des Thorax mit Kontrastmittel;0;0;1
3-225;Computertomographie des Abdomens mit Kontrastmittel;0;0;1
3-226;Computertomographie des Beckens mit Kontrastmittel;0;0;1
3-228;Computertomographie der peripheren Gefäße mit Kontrastmittel;0;0;1
3-22x;Andere Computertomographie mit Kontrastmittel;0;0;1
3-24x;Andere Computertomographie-Spezialverfahren;0;0;1
3-600;Arteriographie der intrakraniellen Gefäße;0;0;1
3-601;Arteriographie der Gefäße des Halses;0;0;1
3-607;Arteriographie der Gefäße der unteren Extremitäten;0;0;1
3-700;Szintigraphie von Gehirn und Liquorräumen;0;0;1
3-701;Szintigraphie der Schilddrüse;0;0;1
3-705.0;Szintigraphie des Muskel-Skelett-Systems: Ein-Phasen-Szintigraphie;0;0;1
3-720.0;Single-Photon-Emissionscomputertomographie des Gehirns: Mit Perfusionsmarkern;0;0;1
3-720.10;Single-Photon-Emissionscomputertomographie des Gehirns: Mit rezeptorgerichteten Substanzen: Mit Dopamin-Transporter-Liganden;0;0;1
3-720.11;Single-Photon-Emissionscomputertomographie des Gehirns: Mit rezeptorgerichteten Substanzen: Mit Dopamin-Rezeptor-Liganden;0;0;1
3-730;Single-Photon-Emissionscomputertomographie mit Computertomographie (SPECT/CT) des Gehirns;0;0;1
3-740;Positronenemissionstomographie des Gehirns;0;0;1
3-750;Positronenemissionstomographie mit Computertomographie (PET/CT) des Gehirns;0;0;1
3-800;Native Magnetresonanztomographie des Schädels;0;0;1
3-801;Native Magnetresonanztomographie des Halses;0;0;1
3-802;Native Magnetresonanztomographie von Wirbelsäule und Rückenmark;0;0;1
3-804;Native Magnetresonanztomographie des Abdomens;0;0;1
3-805;Native Magnetresonanztomographie des Beckens;0;0;1
3-806;Native Magnetresonanztomographie des Muskel-Skelett-Systems;0;0;1
3-808;Native Magnetresonanztomographie der peripheren Gefäße;0;0;1
3-80x;Andere native Magnetresonanztomographie;0;0;1
3-820;Magnetresonanztomographie des Schädels mit Kontrastmittel;0;0;1
3-821;Magnetresonanztomographie des Halses mit Kontrastmittel;0;0;1
3-822;Magnetresonanztomographie des Thorax mit Kontrastmittel;0;0;1
3-823;Magnetresonanztomographie von Wirbelsäule und Rückenmark mit Kontrastmittel;0;0;1
3-824.0;Magnetresonanztomographie des Herzens mit Kontrastmittel: In Ruhe;0;0;1
3-825;Magnetresonanztomographie des Abdomens mit Kontrastmittel;0;0;1
3-826;Magnetresonanztomographie des Muskel-Skelett-Systems mit Kontrastmittel;0;0;1
3-828;Magnetresonanztomographie der peripheren Gefäße mit Kontrastmittel;0;0;1
3-82a;Magnetresonanztomographie des Beckens mit Kontrastmittel;0;0;1
3-82x;Andere Magnetresonanztomographie mit Kontrastmittel;0;0;1
3-841;Magnetresonanz-Myelographie;0;0;1
3-84x;Andere Magnetresonanz-Spezialverfahren;0;0;1
3-900;Knochendichtemessung (alle Verfahren);0;0;1
3-990;Computergestützte Bilddatenanalyse mit 3D-Auswertung;0;0;1
3-993;Quantitative Bestimmung von Parametern;0;0;1
3-994;Virtuelle 3D-Rekonstruktionstechnik;0;0;1
3-997;Computertechnische Bildfusion verschiedener bildgebender Modalitäten;0;0;1
5-230.1;Zahnextraktion: Mehrwurzeliger Zahn;0;0;1
5-231.00;Operative Zahnentfernung (durch Osteotomie): Tief zerstörter Zahn: Ein Zahn;0;0;1
5-232.00;Zahnsanierung durch Füllung: Adhäsive Füllungstechnik: Ein Zahn;0;0;1
5-232.10;Zahnsanierung durch Füllung: Compositeadhäsive Füllungstechnik: Ein Zahn;0;0;1
5-431.20;Gastrostomie: Perkutan-endoskopisch (PEG): Durch Fadendurchzugsmethode;0;0;1
5-452.21;Lokale Exzision und Destruktion von erkranktem Gewebe des Dickdarmes: Exzision, endoskopisch: Polypektomie von 1-2 Polypen mit Schlinge;0;0;1
5-452.22;Lokale Exzision und Destruktion von erkranktem Gewebe des Dickdarmes: Exzision, endoskopisch: Polypektomie von mehr als 2 Polypen mit Schlinge;0;0;1
5-572.1;Zystostomie: Perkutan;0;0;1
5-900.04;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Sonstige Teile Kopf;0;0;1
5-900.07;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Oberarm und Ellenbogen;0;0;1
5-900.08;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Unterarm;0;0;1
5-900.09;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Hand;0;0;1
5-900.0e;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Oberschenkel und Knie;0;0;1
5-900.0f;Einfache Wiederherstellung der Oberflächenkontinuität an Haut und Unterhaut: Primärnaht: Unterschenkel;0;0;1
6-006.a0;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 75 mg bis unter 125 mg;0;0;1
6-006.a1;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 125 mg bis unter 175 mg;0;0;1
6-006.a2;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 175 mg bis unter 250 mg;0;0;1
6-006.a3;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 250 mg bis unter 325 mg;0;0;1
6-006.a4;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 325 mg bis unter 400 mg;0;0;1
6-006.a5;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 400 mg bis unter 475 mg;0;0;1
6-006.a6;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 475 mg bis unter 550 mg;0;0;1
6-006.a7;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 550 mg bis unter 625 mg;0;0;1
6-006.a8;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 625 mg bis unter 700 mg;0;0;1
6-006.a9;Applikation von Medikamenten, Liste 6: Paliperidon, intramuskulär: 700 mg bis unter 775 mg;0;0;1
8-015.0;Enterale Ernährungstherapie als medizinische Hauptbehandlung: Über eine Sonde;0;0;1
8-015.1;Enterale Ernährungstherapie als medizinische Hauptbehandlung: Über ein Stoma;0;0;1
8-020.x;Therapeutische Injektion: Sonstige;0;0;1
8-020.y;Therapeutische Injektion: N.n.bez.;0;0;1
8-100.8;Fremdkörperentfernung durch Endoskopie: Durch Ösophagogastroduodenoskopie;0;0;1
8-123.0;Wechsel und Entfernung eines Gastrostomiekatheters: Wechsel;0;0;1
8-125.0;Anlegen und Wechsel einer duodenalen oder jejunalen Ernährungssonde: Transnasal, n.n.bez.;0;0;1
8-133.0;Wechsel und Entfernung eines suprapubischen Katheters: Wechsel;0;0;1
8-151.4;Therapeutische perkutane Punktion des Zentralnervensystems und des Auges: Lumbalpunktion;0;0;1
8-171.0;Therapeutische Spülung (Lavage) des Ohres: Äußerer Gehörgang;0;0;1
8-191.00;Verband bei großflächigen und schwerwiegenden Hauterkrankungen: Feuchtverband mit antiseptischer Lösung: Ohne Debridement-Bad;0;0;1
8-191.5;Verband bei großflächigen und schwerwiegenden Hauterkrankungen: Hydrokolloidverband;0;0;1
8-191.x;Verband bei großflächigen und schwerwiegenden Hauterkrankungen: Sonstige;0;0;1
8-390.0;Lagerungsbehandlung: Lagerung im Spezialbett;0;0;1
8-390.1;Lagerungsbehandlung: Therapeutisch-funktionelle Lagerung auf neurophysiologischer Grundlage;0;0;1
8-390.5;Lagerungsbehandlung: Lagerung im Weichlagerungsbett mit programmierbarer automatischer Lagerungshilfe;0;0;1
8-390.x;Lagerungsbehandlung: Sonstige;0;0;1
8-542.11;Nicht komplexe Chemotherapie: 1 Tag: 1 Medikament;0;0;1
8-547.2;Andere Immuntherapie: Mit Immunmodulatoren;0;0;1
8-547.31;Andere Immuntherapie: Immunsuppression: Sonstige Applikationsform;0;0;1
8-548.0;Hochaktive antiretrovirale Therapie [HAART]: Mit 2 bis 4 Einzelsubstanzen;0;0;1
8-550.0;Geriatrische frührehabilitative Komplexbehandlung: Mindestens 7 Behandlungstage und 10 Therapieeinheiten;0;0;1
8-550.1;Geriatrische frührehabilitative Komplexbehandlung: Mindestens 14 Behandlungstage und 20 Therapieeinheiten;0;0;1
8-560.0;Lichttherapie: Selektive Ultraviolettphototherapie (SUP);0;0;1
8-560.3;Lichttherapie: Lichttherapie UVA 1;0;0;1
8-560.x;Lichttherapie: Sonstige;0;0;1
8-560.y;Lichttherapie: N.n.bez.;0;0;1
8-561.1;Funktionsorientierte physikalische Therapie: Funktionsorientierte physikalische Monotherapie;0;0;1
8-561.2;Funktionsorientierte physikalische Therapie: Kombinierte funktionsorientierte physikalische Therapie;0;0;1
8-630.2;Elektrokrampftherapie [EKT]: Grundleistung;0;0;1
8-630.3;Elektrokrampftherapie [EKT]: Therapiesitzung;0;0;1
8-631.0;Neurostimulation: Nachprogrammierung eines implantierten Neurostimulators zur Hirnstimulation;0;0;1
8-632.0;Repetitive transkranielle Magnetstimulation [rTMS]: Grundleistung;0;0;1
8-632.1;Repetitive transkranielle Magnetstimulation [rTMS]: Therapiesitzung;0;0;1
8-650;Elektrotherapie;0;0;1
8-717.0;Einstellung einer nasalen oder oronasalen Überdrucktherapie bei schlafbezogenen Atemstörungen: Ersteinstellung;0;0;1
8-717.1;Einstellung einer nasalen oder oronasalen Überdrucktherapie bei schlafbezogenen Atemstörungen: Kontrolle oder Optimierung einer früher eingeleiteten nasalen oder oronasalen Überdrucktherapie;0;0;1
8-771;Kardiale oder kardiopulmonale Reanimation;0;0;1
8-800.0;Transfusion von Vollblut, Erythrozytenkonzentrat und Thrombozytenkonzentrat: Vollblut, 1-5 TE;0;0;1
8-800.c0;Transfusion von Vollblut, Erythrozytenkonzentrat und Thrombozytenkonzentrat: Erythrozytenkonzentrat: 1 TE bis unter 6 TE;0;0;1
8-854.2;Hämodialyse: Intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;0;0;1
8-900;Intravenöse Anästhesie;0;0;1
8-918.20;Multimodale Schmerztherapie: Mindestens 21 Behandlungstage: Bis zu 83 Therapieeinheiten;0;0;1
8-930;Monitoring von Atmung, Herz und Kreislauf ohne Messung des Pulmonalarteriendruckes und des zentralen Venendruckes;0;0;1
8-975.3;Naturheilkundliche und anthroposophisch-medizinische Komplexbehandlung: Anthroposophisch-medizinische Komplexbehandlung;0;0;1
8-987.11;Komplexbehandlung bei Besiedelung oder Infektion mit multiresistenten Erregern [MRE]: Komplexbehandlung nicht auf spezieller Isoliereinheit: Mindestens 7 bis höchstens 13 Behandlungstage;0;0;1
8-987.12;Komplexbehandlung bei Besiedelung oder Infektion mit multiresistenten Erregern [MRE]: Komplexbehandlung nicht auf spezieller Isoliereinheit: Mindestens 14 bis höchstens 20 Behandlungstage;0;0;1
8-987.13;Komplexbehandlung bei Besiedelung oder Infektion mit multiresistenten Erregern [MRE]: Komplexbehandlung nicht auf spezieller Isoliereinheit: Mindestens 21 Behandlungstage;0;0;1
9-201.0;Hochaufwendige Pflege von Kindern und Jugendlichen: 43 bis 71 Aufwandspunkte;0;0;1
9-320;Therapie organischer und funktioneller Störungen der Sprache, des Sprechens, der Stimme und des Schluckens;0;0;1
9-410.04;Einzeltherapie: Kognitive Verhaltenstherapie: An einem Tag;0;0;1
9-500.0;Patientenschulung: Basisschulung;0;0;1
9-604;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen ohne Therapieeinheiten pro Woche;0;0;1
9-605.0;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit bis 2 Therapieeinheiten pro Woche;0;0;1
9-605.1;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 2 bis 4 Therapieeinheiten pro Woche;0;0;1
9-605.2;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 4 bis 6 Therapieeinheiten pro Woche;0;0;1
9-605.3;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 6 bis 8 Therapieeinheiten pro Woche;0;0;1
9-605.4;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 8 bis 10 Therapieeinheiten pro Woche;0;0;1
9-605.5;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 10 bis 12 Therapieeinheiten pro Woche;0;0;1
9-605.6;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 12 bis 14 Therapieeinheiten pro Woche;0;0;1
9-605.7;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 14 bis 16 Therapieeinheiten pro Woche;0;0;1
9-605.8;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 16 bis 18 Therapieeinheiten pro Woche;0;0;1
9-605.9;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 18 bis 20 Therapieeinheiten pro Woche;0;0;1
9-605.a;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 20 Therapieeinheiten pro Woche;0;0;1
9-606.0;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: Regelbehandlung mit bis 2 Therapieeinheiten pro Woche;0;0;1
9-606.1;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 2 bis 4 Therapieeinheiten pro Woche;0;0;1
9-606.2;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 4 bis 6 Therapieeinheiten pro Woche;0;0;1
9-606.3;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 6 bis 8 Therapieeinheiten pro Woche;0;0;1
9-606.4;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 8 bis 10 Therapieeinheiten pro Woche;0;0;1
9-606.5;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 10 bis 12 Therapieeinheiten pro Woche;0;0;1
9-606.6;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 12 bis 14 Therapieeinheiten pro Woche;0;0;1
9-606.7;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 14 bis 16 Therapieeinheiten pro Woche;0;0;1
9-606.8;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 16 bis 18 Therapieeinheiten pro Woche;0;0;1
9-606.9;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 18 bis 20 Therapieeinheiten pro Woche;0;0;1
9-606.a;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 20 bis 22 Therapieeinheiten pro Woche;0;0;1
9-606.b;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 22 bis 24 Therapieeinheiten pro Woche;0;0;1
9-606.c;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 24 bis 26 Therapieeinheiten pro Woche;0;0;1
9-606.d;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 26 bis 28 Therapieeinheiten pro Woche;0;0;1
9-606.e;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 28 bis 30 Therapieeinheiten pro Woche;0;0;1
9-606.f;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 30 bis 32 Therapieeinheiten pro Woche;0;0;1
9-606.g;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 32 bis 34 Therapieeinheiten pro Woche;0;0;1
9-606.h;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 34 bis 36 Therapieeinheiten pro Woche;0;0;1
9-606.j;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 36 bis 38 Therapieeinheiten pro Woche;0;0;1
9-606.k;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 38 bis 40 Therapieeinheiten pro Woche;0;0;1
9-606.m;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 40 bis 42 Therapieeinheiten pro Woche;0;0;1
9-606.n;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 42 bis 44 Therapieeinheiten pro Woche;0;0;1
9-606.p;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 44 bis 46 Therapieeinheiten pro Woche;0;0;1
9-606.q;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: mit mehr als 46 bis 48 Therapieeinheiten pro Woche;0;0;1
9-606.r;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen mit durch Spezialtherapeuten und/oder Pflegefachpersonen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 48 Therapieeinheiten pro Woche;0;0;1
9-614.0;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: Intensivbehandlung ohne Therapieeinheiten pro Woche;0;0;1
9-614.10;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit bis 2 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;0;0;1
9-614.11;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit mehr als 2 bis 4 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;0;0;1
9-614.12;Intensivbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen, bei Patienten mit 1 bis 2 Merkmalen: mit mehr als 4 bis 6 durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten pro Woche;0;0;1
